編號,旅行社名稱,負責人,地址,公司電話,公司傳真,公司E_MAIL
1,東晟旅行社,曾定中,10446臺北市中山區中山北路2段45巷23號3樓之3,0225651515,0225316279,transcon@ms2.hinet.net
2,首都旅行社,林明發,10470臺北市中山區民權東路2段55號2樓,0225966923,0225965975,capital@agent.abacus.com.tw
3,康泰旅運社,黃錦華,10658臺北市大安區建國南路2段9號2樓之1,0227064861,0227004968,service@kongtai.com.tw
4,,,,,,
5,台灣中國旅行社,上海商業儲蓄銀行股份有限公司法人代表周慶雄,10448臺北市中山區林森北路54號1樓,0225625858,0225119890,service@chinatravel.com.tw
6,平和旅行社,黃朝義,10666臺北市大安區復興南路1段249號4樓,0227068638,0227066655,pinho111@ms27.hinet.net
7,美侖旅行社,蔡幸祥,10445臺北市中山區中山北路2段99號9樓之3,0225622891,0225819239,mln@ms29.hinet.net
8,永航旅行社,劉克敏,10472臺北市南京東路2段178號4樓,0225060005,0225031202,judy0112345@hotmail.com
9,,,,,,
10,,,,,,
11,吉美旅行社,賴惠麗,10046臺北市忠孝東路1段17號4樓,0223949166,0223410858,jimmytr@ms59.hinet.net
12,新亞旅行社,張政美,10458臺北市中山區農安街32號3樓、8樓之3、8樓之4,0225982111,0225945912,343@shinyaito.com.tw
13,友愛旅行社,李東榮,10460臺北市民權西路27號2樓之1,0225913650,0225993742,youitour@ms38.hinet.net
14,山水旅行社,楊豐原,10446臺北市中山北路2段57之1號6樓,0225511101,0225630241,smitpets@ms4.hinet.net
15,開發旅行社,梁榮堯,10466臺北市長安東路2段184號5樓,0227110045,0227519531,
16,光陽旅行社,黃學容,10490臺北市龍江路42號6樓,0227212101,0227528177,apollo.ko@msa.hinet.net
17,天南旅行社,陳瑞宗,10649臺北市忠孝東路3段255號3樓,0227725511,0227725510,
18,福國旅行社,亞洲華人資產管理股份有限公司法人代表    謝士滄,10462臺北市中山區敬業一路185號8樓之3,0285021556,0285020522,0215@tata.org.tw
19,大洋旅行社,紀東滄,104臺北市中山區民權東路3段4號5樓,0225074567,0225080567,fia033@egots.com
20,假日旅行社,王振銘,10647臺北市新生南路1段93號7樓、7樓之1,0227765781,0227766947,maggie@whtravel.com
21,天天旅行社,陳昭德,10049臺北市中正區重慶南路1段10號11樓,0223313181,0223710616,dailytour@tpe.atti.net.tw
